subject_id,trial,response,valid
1,1,1,False
1,2,1,False
1,3,1,True
1,4,0,True
1,5,0,False
1,6,0,True
1,7,1,True
1,8,0,True
1,9,1,False
1,10,1,False
1,11,0,False
1,12,0,True
1,13,0,False
1,14,1,True
1,15,0,True
1,16,0,True
1,17,0,True
1,18,0,True
1,19,0,False
1,20,1,True
1,21,1,True
1,22,1,True
1,23,1,False
1,24,0,True
1,25,0,True
1,26,0,True
1,27,0,True
1,28,1,True
1,29,0,True
1,30,1,True
1,31,0,False
1,32,1,False
1,33,1,False
1,34,0,False
1,35,1,True
1,36,0,False
1,37,1,False
1,38,1,True
1,39,1,False
1,40,1,False
1,41,0,False
1,42,1,True
1,43,1,True
1,44,0,False
1,45,0,True
1,46,1,True
1,47,1,False
1,48,0,False
1,49,0,True
1,50,0,False
1,51,1,False
1,52,1,False
1,53,1,True
1,54,0,False
1,55,0,True
1,56,1,False
1,57,1,False
1,58,0,False
1,59,0,True
1,60,0,False
1,61,1,False
1,62,0,True
1,63,0,False
1,64,0,False
1,65,0,True
1,66,0,False
1,67,0,True
1,68,0,True
1,69,0,False
1,70,0,False
1,71,0,True
1,72,0,True
1,73,0,False
1,74,0,False
1,75,1,False
1,76,0,True
1,77,0,False
1,78,1,False
1,79,0,False
1,80,1,False
1,81,0,False
1,82,0,True
1,83,0,False
1,84,1,True
1,85,1,True
1,86,1,False
1,87,0,False
1,88,1,True
1,89,0,False
1,90,1,True
1,91,1,False
1,92,0,True
1,93,0,True
1,94,0,False
1,95,0,True
1,96,1,True
1,97,0,True
1,98,1,False
1,99,0,False
1,100,1,False
2,1,1,True
2,2,1,False
2,3,0,False
2,4,1,True
2,5,0,True
2,6,1,True
2,7,0,True
2,8,1,False
2,9,0,True
2,10,1,True
2,11,1,True
2,12,0,True
2,13,0,False
2,14,0,False
2,15,1,True
2,16,0,True
2,17,1,True
2,18,1,True
2,19,1,True
2,20,0,True
2,21,1,False
2,22,1,False
2,23,1,True
2,24,0,True
2,25,1,False
2,26,1,False
2,27,0,True
2,28,0,False
2,29,1,False
2,30,1,True
2,31,0,True
2,32,1,True
2,33,0,True
2,34,1,False
2,35,0,True
2,36,1,False
2,37,0,True
2,38,0,True
2,39,1,False
2,40,0,False
2,41,1,True
2,42,0,True
2,43,1,True
2,44,1,True
2,45,1,False
2,46,1,True
2,47,1,True
2,48,1,False
2,49,0,True
2,50,0,False
2,51,0,True
2,52,0,True
2,53,0,True
2,54,0,False
2,55,0,False
2,56,0,False
2,57,1,False
2,58,0,False
2,59,1,False
2,60,0,True
2,61,1,False
2,62,1,False
2,63,1,True
2,64,0,False
2,65,0,True
2,66,0,True
2,67,1,False
2,68,0,True
2,69,0,False
2,70,1,True
2,71,1,True
2,72,1,False
2,73,1,True
2,74,1,False
2,75,0,False
2,76,0,True
2,77,1,True
2,78,1,False
2,79,1,True
2,80,1,False
2,81,0,True
2,82,0,True
2,83,1,True
2,84,1,True
2,85,0,True
2,86,0,True
2,87,0,False
2,88,1,True
2,89,0,False
2,90,0,True
2,91,0,False
2,92,1,False
2,93,1,True
2,94,0,False
2,95,0,False
2,96,1,False
2,97,0,True
2,98,0,False
2,99,0,True
2,100,1,True
3,1,0,False
3,2,0,False
3,3,0,False
3,4,0,True
3,5,0,False
3,6,0,True
3,7,0,True
3,8,1,True
3,9,0,False
3,10,0,True
3,11,0,True
3,12,1,False
3,13,1,False
3,14,0,False
3,15,0,True
3,16,0,False
3,17,0,True
3,18,1,True
3,19,1,False
3,20,0,True
3,21,1,True
3,22,0,True
3,23,1,True
3,24,1,False
3,25,1,True
3,26,1,True
3,27,1,False
3,28,0,False
3,29,0,True
3,30,1,False
3,31,1,False
3,32,0,False
3,33,0,True
3,34,1,True
3,35,1,True
3,36,1,False
3,37,0,True
3,38,1,False
3,39,1,False
3,40,1,True
3,41,1,True
3,42,1,False
3,43,0,False
3,44,0,True
3,45,1,True
3,46,0,False
3,47,1,True
3,48,1,True
3,49,0,True
3,50,1,True
3,51,1,True
3,52,0,True
3,53,1,True
3,54,1,False
3,55,1,False
3,56,1,True
3,57,0,True
3,58,1,True
3,59,1,False
3,60,0,False
3,61,0,False
3,62,0,True
3,63,0,False
3,64,0,False
3,65,1,True
3,66,1,False
3,67,0,False
3,68,1,False
3,69,1,False
3,70,0,False
3,71,0,True
3,72,1,True
3,73,1,True
3,74,0,True
3,75,1,False
3,76,0,False
3,77,0,False
3,78,0,False
3,79,0,False
3,80,0,True
3,81,1,True
3,82,0,False
3,83,0,False
3,84,0,False
3,85,0,False
3,86,0,False
3,87,1,True
3,88,1,False
3,89,0,True
3,90,0,False
3,91,0,False
3,92,1,False
3,93,0,True
3,94,1,True
3,95,1,False
3,96,0,False
3,97,1,True
3,98,1,True
3,99,1,True
3,100,1,False
4,1,1,False
4,2,1,False
4,3,1,True
4,4,0,False
4,5,1,False
4,6,0,True
4,7,1,False
4,8,0,True
4,9,1,True
4,10,0,False
4,11,1,False
4,12,0,True
4,13,0,False
4,14,1,False
4,15,1,False
4,16,0,True
4,17,0,False
4,18,0,False
4,19,1,True
4,20,1,False
4,21,0,False
4,22,0,True
4,23,0,False
4,24,0,False
4,25,0,True
4,26,1,False
4,27,1,False
4,28,1,True
4,29,0,True
4,30,1,True
4,31,1,True
4,32,0,True
4,33,1,True
4,34,1,True
4,35,0,True
4,36,1,True
4,37,0,True
4,38,0,True
4,39,1,False
4,40,1,False
4,41,1,False
4,42,0,False
4,43,0,False
4,44,1,True
4,45,1,True
4,46,0,True
4,47,0,True
4,48,1,False
4,49,0,False
4,50,1,True
4,51,0,False
4,52,1,False
4,53,1,True
4,54,0,True
4,55,1,True
4,56,0,False
4,57,0,False
4,58,1,False
4,59,0,True
4,60,1,True
4,61,0,True
4,62,0,False
4,63,0,False
4,64,1,True
4,65,0,True
4,66,0,False
4,67,1,False
4,68,1,True
4,69,0,False
4,70,1,False
4,71,0,True
4,72,1,True
4,73,0,False
4,74,0,True
4,75,0,False
4,76,1,True
4,77,1,True
4,78,0,False
4,79,1,False
4,80,0,False
4,81,1,False
4,82,0,True
4,83,1,False
4,84,0,False
4,85,0,True
4,86,1,True
4,87,1,True
4,88,1,False
4,89,0,True
4,90,0,False
4,91,0,False
4,92,1,False
4,93,1,True
4,94,0,True
4,95,1,True
4,96,1,True
4,97,0,True
4,98,0,True
4,99,0,False
4,100,1,True
5,1,0,False
5,2,1,False
5,3,0,True
5,4,0,True
5,5,1,False
5,6,0,True
5,7,0,True
5,8,1,True
5,9,1,True
5,10,0,False
5,11,1,False
5,12,1,True
5,13,0,False
5,14,0,True
5,15,0,True
5,16,0,False
5,17,0,True
5,18,0,False
5,19,1,True
5,20,0,True
5,21,1,True
5,22,0,False
5,23,0,True
5,24,0,True
5,25,1,True
5,26,1,True
5,27,0,True
5,28,1,True
5,29,0,True
5,30,1,True
5,31,0,False
5,32,1,False
5,33,0,True
5,34,1,True
5,35,0,True
5,36,1,True
5,37,0,True
5,38,0,True
5,39,1,False
5,40,1,False
5,41,0,False
5,42,0,True
5,43,1,False
5,44,0,False
5,45,0,True
5,46,1,True
5,47,0,False
5,48,1,False
5,49,0,False
5,50,0,False
5,51,1,False
5,52,1,False
5,53,1,False
5,54,1,False
5,55,0,True
5,56,1,True
5,57,1,True
5,58,0,True
5,59,0,True
5,60,0,True
5,61,1,False
5,62,0,True
5,63,0,True
5,64,1,True
5,65,0,True
5,66,1,False
5,67,1,False
5,68,1,True
5,69,0,True
5,70,0,True
5,71,0,True
5,72,1,False
5,73,0,True
5,74,0,False
5,75,0,True
5,76,0,True
5,77,0,True
5,78,0,False
5,79,0,False
5,80,0,False
5,81,1,True
5,82,0,True
5,83,0,True
5,84,0,True
5,85,1,False
5,86,0,False
5,87,0,False
5,88,1,True
5,89,1,True
5,90,1,True
5,91,1,True
5,92,0,False
5,93,1,True
5,94,1,True
5,95,1,True
5,96,1,True
5,97,0,True
5,98,1,False
5,99,1,True
5,100,1,False
